,id_weather,ville,id_ville,date,time,temp_Celsius,weather,details,humidity_%,wind_meter/sec
123,124,Nîmes,25,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
124,125,Nîmes,25,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
125,126,Aigues-Mortes,26,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
126,127,Aigues-Mortes,26,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
127,128,Aigues-Mortes,26,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
128,129,Aigues-Mortes,26,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
129,130,Aigues-Mortes,26,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
130,131,Saintes-Maries-de-la-Mer,27,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
131,132,Saintes-Maries-de-la-Mer,27,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
132,133,Saintes-Maries-de-la-Mer,27,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
133,134,Saintes-Maries-de-la-Mer,27,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
134,135,Saintes-Maries-de-la-Mer,27,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
135,136,Collioure,28,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
136,137,Collioure,28,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
137,138,Collioure,28,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
138,139,Collioure,28,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
139,140,Collioure,28,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
140,141,Carcassonne,29,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
141,142,Carcassonne,29,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
142,143,Carcassonne,29,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
143,144,Carcassonne,29,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
144,145,Carcassonne,29,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
145,146,Ariège,30,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
146,147,Ariège,30,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
147,148,Ariège,30,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
148,149,Ariège,30,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
149,150,Ariège,30,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
150,151,Toulouse,31,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
151,152,Toulouse,31,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
152,153,Toulouse,31,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
153,154,Toulouse,31,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
154,155,Toulouse,31,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
155,156,Montauban,32,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
156,157,Montauban,32,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
157,158,Montauban,32,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
158,159,Montauban,32,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
159,160,Montauban,32,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
160,161,Biarritz,33,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
161,162,Biarritz,33,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
162,163,Biarritz,33,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
163,164,Biarritz,33,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
164,165,Biarritz,33,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
165,166,Bayonne,34,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
166,167,Bayonne,34,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
167,168,Bayonne,34,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
168,169,Bayonne,34,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
169,170,Bayonne,34,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
170,171,La Rochelle,35,2023-12-20,12:00,6.02,Clouds,scattered clouds,91,3.81
171,172,La Rochelle,35,2023-12-21,12:00,11.04,Clouds,overcast clouds,87,6.84
172,173,La Rochelle,35,2023-12-22,12:00,11.86,Rain,light rain,75,7.08
173,174,La Rochelle,35,2023-12-23,12:00,10.52,Clouds,overcast clouds,74,5.74
174,175,La Rochelle,35,2023-12-24,12:00,11.08,Rain,light rain,89,6.86
